MyParcel_MyParcelBE::Shipment type,Shipment type
MyParcel_MyParcelBE::Normal,Normal
MyParcel_MyParcelBE::Letter box,Letter box
MyParcel_MyParcelBE::Unstamped,Unstamped
MyParcel_MyParcelBE::The MyParcel consignment is successfully created.,The MyParcel consignment is successfully created.
MyParcel_MyParcelBE::Choose a pickup location,Choose a pickup location
MyParcel_MyParcelBE::Zipcode,Zipcode
"MyParcel_MyParcelBE::Search by zipcode, address or city","Search by zipcode, address or city"
MyParcel_MyParcelBE::Housenumber,Housenumber
MyParcel_MyParcelBE::Search,Search
MyParcel_MyParcelBE::Nearest myparcel pickup points,Nearest myparcel pickup points
MyParcel_MyParcelBE::PostNL location Method Name,PostNL location Method Name
MyParcel_MyParcelBE::Unpaid,Unpaid
MyParcel_MyParcelBE::The consignment is already credited.,The consignment is already credited.
MyParcel_MyParcelBE::MyParcel - Create labels,MyParcel - Create labels
MyParcel_MyParcelBE::Letterbox,Letterbox
MyParcel_MyParcelBE::Select,Select
MyParcel_MyParcelBE::Insured up to:,Insured up to:
MyParcel_MyParcelBE::Close,Close
MyParcel_MyParcelBE::Choose a PostNL pickup location,Choose a PostNL pickup location
"MyParcel_MyParcelBE::The selected shipment-type cannot be used, Pakjegemak-shipments can only be created with the normal shipment type.","The selected shipment-type cannot be used, 'Ship to PostNL location' can only be created with the normal shipment type."
MyParcel_MyParcelBE::MyParcel - Create Magento shipments (no labels),MyParcel - Create Magento shipments (no labels)
MyParcel_MyParcelBE::Insured up to &euro;%s,Insured up to &euro;%s
MyParcel_MyParcelBE::Post Office Address,Post Office Address
"MyParcel_MyParcelBE::The selected shipment type cannot be used. Pakjegemak shipments can only be created with the normal shipment type.<br/> The Magento shipment has been created without a MyParcel shipment, select a different shipment type or go to the shipment page to create a single MyParcel shipment. <a target=""_blank"" href=""%s"">View shipment</a>","The selected shipment type cannot be used. 'Ship to PostNL location' shipments can only be created with the normal shipment type.<br/> The Magento shipment has been created without a MyParcel shipment, select a different shipment type or go to the shipment page to create a single MyParcel shipment. <a target=""_blank"" href=""%s"">View shipment</a>"
MyParcel_MyParcelBE::Only for dutch shipments,Only for dutch shipments
"MyParcel_MyParcelBE::Only for dutch shipments, shipments to outside of the EU are standard ensured up to &euro 200","Only for dutch shipments, shipments to outside of the EU are standard ensured up to &euro 200"

MyParcel_MyParcelBE::status_1,Concept
MyParcel_MyParcelBE::status_2,Registered
MyParcel_MyParcelBE::status_3,Enroute - handed to carrier
MyParcel_MyParcelBE::status_4,Enroute - Sorting
MyParcel_MyParcelBE::status_5,Enroute - Distribution
MyParcel_MyParcelBE::status_6,Enroute - Customs
MyParcel_MyParcelBE::status_7,Delivered - At recipient
MyParcel_MyParcelBE::status_8,Delivered - Ready for pickup
MyParcel_MyParcelBE::status_9,Delivered - Package picked up
MyParcel_MyParcelBE::status_10,Delivered - Return shipment
MyParcel_MyParcelBE::status_11,Delivered - Return shipment pickup location
MyParcel_MyParcelBE::status_12,Unrelated label printed
MyParcel_MyParcelBE::status_13,Credited
MyParcel_MyParcelBE::status_30,Inactive - Concept
MyParcel_MyParcelBE::status_31,Inactive - Registered
MyParcel_MyParcelBE::status_32,Inactive - Enroute - Handed to carrier
MyParcel_MyParcelBE::status_33,Inactive - Enroute - Sorting
MyParcel_MyParcelBE::status_34,Inactive - Enroute - Distribution
MyParcel_MyParcelBE::status_35,Inactive - Enroute - Customs
MyParcel_MyParcelBE::status_36,Inactive - Delivered - At recipient
MyParcel_MyParcelBE::status_37,Inactive - Delivered - Ready for pickup
MyParcel_MyParcelBE::status_38,Inactive - Delivered - Package picked up
MyParcel_MyParcelBE::status_39,Inactive - Return shipment delivered
MyParcel_MyParcelBE::status_40,Inactive - Return shipment pickup location
MyParcel_MyParcelBE::status_99,Inactive - Unknown

MyParcel_MyParcelBE::PostNL location:,to PostNL location:
MyParcel_MyParcelBE::deliver:,deliver:
MyParcel_MyParcelBE::TYPE_morning,Morning
MyParcel_MyParcelBE::TYPE_avond,Avondlevering
MyParcel_MyParcelBE::TYPE_retailexpress,Extra vroeg ophalen
